id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
23,stomp,Stomp,1,1,6,4,100,Has a 30% chance to make the target flinch.,"The user stomps on the opponent with its foot, possibly causing them to flinch with shock. This attack does considerably more damage if the target has used minimize.",Single,Contact/Flinch (30%)
24,double-kick,Double Kick,7,1,6,3,100,Deals damage.  No other effect.,The user strikes the foe with a fast one-two kick.,Single,Contact
25,mega-kick,Mega Kick,1,1,12,7,75,Deals damage.  No other effect.,"The user fires a single extremely powerful kick straight at the enemy, doing considerable damage if it manages to connect.",Single,Contact
26,jump-kick,Jump Kick,7,1,10,5,95,"Deals crash damage to the user if it misses, equal to half the damage it would have dealt.",The user makes a running jump in order to plant a flying kick on the opponent's face. If the user misses it will sail through the air for a time before crashing into the ground and taking recoil damage as a result.,Single,Contact
27,rolling-kick,Rolling Kick,7,1,6,4,85,Has a 30% chance to make the target flinch.,"The user spins about rapidly, lashing out with its feet and dealing the opponent a high-velocity kick. The startling nature of this attack may cause flinching.",Single,Contact/Flinch (30%)
28,sand-attack,Sand Attack,9,3,,1,100,Lowers the target's Accuracy by one stage.,"The user sweeps sand or small debris into the opponent's face, blinding it and reducing accuracy.",Single,Projectile/Stat modifier (accuracy)
29,headbutt,Headbutt,1,1,7,5,100,Has a 30% chance to make the target flinch.,"The user dashes forward with its head lowered and slams itself headfirst into the opponent. This move may cause the user to become dazed, depending on how hard its target is and how soft its head is. At the same time, however, the strike may be sufficient to wind the opponent, causing it to flinch.",Single,Contact/Flinch (30%)
30,horn-attack,Horn Attack,1,1,6,3,100,Deals damage.  No other effect.,The user rushes at the opponent and stabs it fiercely with a horn or some other sharp appendage.,Single,Contact
31,fury-attack,Fury Attack,1,1,-1,-1,85,Hits 2-5 times in one action.  Base damage is 1.5 times the number of hits.,"The user unleashes a flurry of sharp jabs at the opponent with its beak or some other sharp appendage. Although each attack is weak, the damage can add up quickly if most of the jabs connect.",Single,Random damage
32,horn-drill,Horn Drill,1,1,-1,-1,30,"Deals damage equal to the damage cap, or 100% if there is none.","The user rams straight into the opponent, attempting to gore them with a spinning horn or some other sharp appendage. This attack will cause severe injury if it should strike successfully, but it is notoriously difficult to aim.",Single,Contact/OHKO
33,tackle,Tackle,1,1,5,3,100,Deals damage.  No other effect.,The user bears the opponent to the ground with a full-body tackle.,Single,Contact
34,body-slam,Body Slam,1,1,-1,-1,100,"Base damage, energy cost, and chance to paralyze the target vary with the user and target's weights.","The user either leaps onto the target or falls over on them. The heavier the user is in comparison to the target, the better the damage. In addition, the target may be crushed into the ground and rendered extremely achy, with effects identical to those of paralysis.",Single,Contact/Status (paralysis)
35,wrap,Wrap,1,1,1,1,90,Traps the target and deals 1% damage after each action for 2-5 actions.,"The user wraps itself or some portion of its body around its opponent and squeezes it tightly, holding it in place for as long as it can. Though initially the foe is wrapped very tightly and the chance of escape is minimal, over time it may be able to work itself free.",Single,Contact
36,take-down,Take Down,1,1,9,5,85,Deals recoil damage to the user equal to 1/4 the damage dealt.,"The user does a full-on bull rush towards the opponent, slamming the target into the ground but also harming itself in the process.",Single,Contact
37,thrash,Thrash,1,1,12,7,100,"Forces the user to use this move for several actions, then confuses it.","The user thrashes around wildly, damaging anything near it, friend and foe alike. The user soon becomes dizzy and confused from all the wild thrashing.",Random,Contact/Status (confusion)
38,double-edge,Double-Edge,1,1,12,7,100,Deals recoil damage to the user equal to 1/3 the damage dealt.,The user glows white and charges into the opponent with extreme force. This attack is extremely strong but causes recoil damage.,Single,Contact
39,tail-whip,Tail Whip,1,3,,1,100,Lowers the target's Defense by one stage.,"The user strikes the opponent with its tail, startling the target and making it lower its guard.",Single,Contact/Stat modifier (defense)
40,poison-sting,Poison Sting,8,1,1,2,100,Has a 30% chance to poison the target.,"The user fires many small, poison-tipped pins at the opponent.",Single,Projectile/Status (poison)
41,twineedle,Twineedle,12,1,4,3,100,Has a 36% chance to poison the target.,"The user jabs the opponent twice in quick succession with its stingers, attempting to inject the target with poison.",Single,Contact/Status (poison)
42,pin-missile,Pin Missile,12,1,-1,-1,95,Hits 2-5 times in one action.  Base damage is 2.5 times the number of hits.,The user fires several volleys of tiny pins at the opponent.,Single,Projectile/Random damage
43,leer,Leer,1,3,,1,100,Lowers the target's Defense by one stage.,"The user sneers menacingly at the opponent. This startles the target and causes it to temporarily let down their guard, reducing defense slightly. Note that eye contact is needed for this move to succeed.",Multiple,Projectile/Stat modifier (defense)
44,bite,Bite,16,1,6,4,100,Has a 30% chance to make the target flinch.,"The user sinks their teeth into the foe, dark energy dribbling from their jaws. The searing burn of the dark energy may be enough to cause the target to flinch.",Single,Contact/Flinch (30%)
45,growl,Growl,1,3,,1,100,Lowers the target's Attack by one stage.,"The user snarls fiercely, baring its teeth and intimidating the opponent. This causes it to become more cautious than normal around the user, slightly reducing its attack power.",Multiple,Stat modifier (attack)
46,roar,Roar,1,3,-1,3,,Tries to make the target flinch.  Success rate varies depending on the circumstances.,The user roars loudly and distracts the opponent(s) from their next attack. Its effectiveness depends upon whether the opponent has reason to fear the user or not and how startled they are by the sudden noise.,Multiple,Special
47,sing,Sing,1,3,,1,55,Puts the target to sleep.,"The user sings a beautiful, singing song that lulls any who hear it to sleep.",Multiple,Projectile/Status (sleep)
48,supersonic,Supersonic,1,3,,1,55,Confuses the target.,The user screeches out high-pitched waves that disorient and confuse its target.,Single,Status (confusion)
49,sonic-boom,Sonic Boom,1,2,2,,90,"Damage cannot be altered, except by immunities.","The user blasts a supersonic charge at the opponent, causing a painfully loud sonic boom as the attack passes its target.",Single,Projectile
50,disable,Disable,1,3,,4,100,Prevents the target from using its last move for several actions.,"The uses focuses on the foe for a few seconds, invading their mind and locking out the last move that they successfully completed from their consciousness, rendering them unable to use it again for several actions. Alternatively, this attack may be used to physically disable the foe, leaving them frozen in place and unable to move for several seconds, although they are still capable of using attacks that require no physical movement.",Single,Special
51,acid,Acid,8,2,4,2,100,Has a 10% chance to lower the target's Special Defense by one stage.,"The pokémon spews out a caustic, seething liquid that can give its opponent a nasty skin burn as well as destroy some varieties of plantlife, though it does little actual damage.",Multiple,Projectile/Stat modifier (special defense)
52,ember,Ember,2,2,4,2,100,Has a 10% chance to burn the target.,"The user blows out a stream of small, glowing embers that do minimal damage. They also have a slight chance of burning the foe upon contact.",Single,Projectile/Status (burn)
53,flamethrower,Flamethrower,2,2,9,5,100,Has a 10% chance to burn the target.,"The user turns a powerful stream of flames on the opponent, potentially burning it with the searing atack.",Single,Projectile/Status (burn)
54,mist,Mist,6,3,,4,,Prevents stat changes and lowers the accuracy of all moves by 10% for three actions.,"The user cloaks the field in a heavy mist, greatly reducing visibility for all caught within the attack. The mystical nature of the mist also prevents stat modifying moves from taking effect as long as a pokémon remains within it (unlike haze, which removes all stat modifiers when it comes into effect).",Multiple,Special
55,water-gun,Water Gun,3,2,4,2,100,Deals damage.  No other effect.,The user spits a small spurt of water at the foe for weak damage.,Single,Projectile
56,hydro-pump,Hydro Pump,3,2,11,7,80,Deals damage.  No other effect.,"The pokémon shoots a thick, powerful blast of water at the opponent force roughly equivalent to that of a fire hose.",Single,Projectile
57,surf,Surf,3,2,9,5,100,Fails if there is not enough water available for the user to manipulate.,"The user gathers a massive amount of water into a large wave and rides it right into the opponents, although its unfortunate allies will likely be unable to escape this attack's fury themselves. This attack requires a decent amount of water nearby to perform effectively.",All,Projectile
58,ice-beam,Ice Beam,6,2,9,5,100,Has a 10% chance to freeze the target.,"The user opens its mouth as a ball of blue energy forms inside it. Once the attack is fully charged, the ball erupts into a beam of blue-white energy that slams into the opponent and instantly covers them with a thin crust of ice. This attack also has a chance to cause severe freezing by encasing some part of the target's body in a thicker layer of ice; however, it is rare that they will be totally engulfed and unable to move at all.",Single,Projectile/Status (freeze)
59,blizzard,Blizzard,6,2,11,7,70,Has a 10% chance to freeze each target.,"The user unleashes a blast of howling winter winds, laced with snow and ice, on the target(s). This attack is incredibly frigid and can quickly encrust the target with several inches of ice and snow, with the result that it has a high chance of freezing.",Multiple,Projectile/Status (freeze)
60,psybeam,Psybeam,11,2,6,3,100,Has a 10% chance to confuse the target.,"The user fires a beam of multicolored psychic energy at the foe. If it strikes the target in the head, it is likely to cause bedazzlement and confusion.",Single,Projectile/Status (confusion)
61,bubble-beam,Bubble Beam,3,2,6,3,100,Has a 10% chance to lower the target's Speed by one stage.,"The user fires a concentrated stream of bubbles at the foe, covering them in a thick layer of foam that may become a hindrance, slightly lowering the target's speed.",Single,Projectile/Stat modifier (speed)
62,aurora-beam,Aurora Beam,6,2,6,3,100,Has a 10% chance to lower the target's Attack by one stage.,"The user shoots a cold beam of energy that flickers with rainbow colors towards the opponent, giving them an icy chill that may lower their metabolism, making them sluggish and their physical attacks slightly weaker.",Single,Projectile/Stat modifier (attack)
63,hyper-beam,Hyper Beam,1,2,15,9,90,Requires an action to recharge.  Can be used in one action for 3% extra energy.,"When charging this attack, the user forms a ball of orange-yellow light. Once the ball grows to roughly the size of a basketball, it turns into a brilliant beam of energy that tears across the arena to strike its target with a huge amount of force. However, this move consumes an incredible amount of energy in very little time.",Single,Projectile
64,peck,Peck,10,1,3,2,100,Deals damage.  No other effect.,The user jabs the opponent with a sharp beak.,Single,Contact
65,drill-peck,Drill Peck,10,1,8,4,100,Deals damage.  No other effect.,"The leaps into the air before diving at the opponent, spinning as it goes to deliver a drilling blow to its target.",Single,Contact
66,submission,Submission,7,1,8,4,80,Deals recoil damage to the user equal to 1/4 of the damage dealt.,"The user grabs the opponent and beats them into submission, finally tossing them away after an aggressive assault. The unbridled violence of this attack causes the user to incur some recoil damage as the target struggles and lashes out in their grasp before being subdued.",Single,Contact
67,low-kick,Low Kick,7,1,-1,-1,100,Base damage and energy cost vary with the target's weight.,"The user runs in and deals a strong kick in an attempt to sweep the target's legs out from under it and send it crashing to the ground. The power of this move varies by the weight of the opponent: the heavier the opponent, the more damage the move deals, especially if the opponent indeed falls, according to the following list: The target weighs less than 10 kg: 20 power; The target weighs 10.1 kgֲ5 kg: 40 power; The target weighs 25.1 kgֵ0 kg: 60 power; The target weighs 50.1 kgֱ00 kg: 80 power; The target weighs 100.1 kgֲ00 kg: 100 power; The target weighs more than 200.1 kg: 120 power.",Single,Contact
68,counter,Counter,7,1,-1,-1,100,"Counters a physical move, dealing twice as much damage as the user took.","The user gets into a defensive stance so as to resist the next physical attack a target opponent uses. If the attack is directly physical, like a punch, the user will catch it and lash out with a return strike twice as powerful while the opponent is off-balance. The damage the user takes as a result of the attack is also slightly reduced, although it takes more energy to counter more damaging attacks. If the physical aspect of the attack is a rock or something of the sort, the projectile is hurled back at the opponent with twice the velocity for, again, twice the damage.",Single,Contact/Projectile/Priority -4
69,seismic-toss,Seismic Toss,7,1,-1,-1,100,"Damage is equal to the user's experience, up to 10%.","The user grabs the foe and tosses them away with sheer force. Damage is dependent on the strength of the user and weight of the enemy. A Pikachu throwing a snorlax, even if it could be done, would do little damage, whereas a machamp throwing a jigglypuff would do a great deal of damage. As a general rule, the base power and energy cost of this attack is determined by comparing the difference in weight between the user and the target as per the following target: The user is 200 or more kg heavier than the target: 150 power, 4% energy; The user is between 100 kg and 199 kg heavier than the target: 100 power, 5% energy; The user is between 50 and 99 kg heavier than the target: 80 power, 6% energy; The user and the target's weight are within 50 kg of one another: 60 power, 7% energy; The user is between 50 and 99 kg lighter than the target: 40 power, 8% energy; The user is between 100 and 199 kg lighter than the target: 20 power, 9% energy; The user is 299 or more kg heavier than the target: the attack fails.",Single,Contact
70,strength,Strength,1,1,8,4,100,Deals damage.  No other effect.,"The user summons all their strength and uses it to hurl their opponent around or break out of any bindings currently holding them. This attack may also allow a pokémon to lift or move very heavy objects, possibly with the intent of hurling them at the opponent.",Single,Contact
71,absorb,Absorb,4,2,2,1,100,Drains half the damage dealt to heal the user.,"The pokémon absorbs health from the opposing pokémon by tapping into their vitality and siphoning it off into themselves. The foe is temporarily surrounded by a brilliant green aura, a manifestation of their lifeforce, which is then drawn off into the user. This attack may affect either health or energy, as directed.",Single,Projectile/Healing (indirect)
72,mega-drain,Mega Drain,4,2,4,2,100,Drains half the damage inflicted to heal the user.,"The siphons off the opponent's lifeforce, causing them to temporarily be surrounded by a green aura that melts back into the user as energy is transferred. This attack can be used to drain either health or energy according to command.",Single,Projectile/Healing (indirect)
73,leech-seed,Leech Seed,4,3,,5,90,Drains 1% of the target's health to heal the user after each round.,"The user launches a small seed at their opponent. If it strikes, the seed will immediately begin to sprout, tangling the target in its burgeoning tendrils and sinking thin roots into their skin to suck away their health. This health is then converted into a form that can be easily transfered to the user, causing a 1% health loss for the target each action and subsequent health gain for the user. As the plant grows larger its tendrils may begin to severely impair movement, but they can usually be cut or burned away with little difficulty.",Single,Projectile/Healing (indirect)
74,growth,Growth,1,3,,2,,Raises the user's Attack and Special Attack by one stage.,"The user experiences a sudden growth spurt, becoming noticeably larger and also slightly amplifying the power of its offensive abilities. If sunny day is considered in effect, the growth spurt is much more pronounced, and both attack and special attack are greatly increased instead.",Self,"Stat modifier (attack, special attack)"
75,razor-leaf,Razor Leaf,4,1,5,3,95,Has a critical hit rate one stage higher than normal.,"The user fires a flurry of high-velocity, razor sharp leaves that can cut through many things at the opponent, possibly causing a critical hit.",Multiple,Projectile/Critical
76,solar-beam,Solar Beam,4,2,12,7,100,Requires an action to charge.  Can be used in one action for 3% extra energy.,"The user gathers solar energy within itself and then releases it at the opponent in the form of a high-energy beam of light and heat. It takes less time and energy to charge during sunny day, and more during rain dance/sandstorm/at night. The power of solarbeam is also cut in half under such conditions.",Single,Projectile
77,poison-powder,Poison Powder,8,3,,3,75,Poisons the target.,The user releases a cloud of toxic spores that choke the opponent and poison it.,Single,Status (poison)
78,stun-spore,Stun Spore,4,3,,3,75,Paralyzes the target.,"The user blows a cloud of golden, glittering spores at the opponent. These spores cause paralysis upon inhalation.",Single,Projectile/Status (paralysis)
79,sleep-powder,Sleep Powder,4,3,,3,75,Puts the target to sleep.,The user releases a cloud of soporific powder that sends the opponent to sleep upon upon inhalation.,Single,Projectile/Status (sleep)
80,petal-dance,Petal Dance,4,2,12,7,100,"Forces the user to use this move for several actions, then confuses the user.",The user swaths themselves in a cloud of swirling flowers and grass energy and starts a wild dance that sends them careening at random around the arena over several actions. The violence of the spinning makes the user dizzy and confused after the attack is over.,Random,Contact/Status (confusion)
81,string-shot,String Shot,12,3,,1,95,Lowers the target's Speed by one stage.,"The user spits a strand of incredibly strong, incredibly sticky thread at the opponent, attempting to entangle it and slightly lowering its speed.",Multiple,Projectile/Stat modifier (speed)
82,dragon-rage,Dragon Rage,15,2,4,2,100,"Damage cannot be altered, except by immunities.","If in an area with liquid-like masses (such as lava or water) around, the user will spin quickly in a circle to create a raging twister composed of draconic energy and whatever liquid the attack is being made in. This twister then rages towards the opponent, picking them up and hurling them away if they are small or simply battering them otherwise. If no liquid is readily available, the user will instead breathe out a streamer of draconic flame, culminating in a concentrated fireball that explodes upon contact with the foe, searing them with dragon-type energy.",Single,Projectile
83,fire-spin,Fire Spin,2,2,3,2,85,Traps the target and deals 1% damage after each action for 2-5 actions.,"The user creates a twister of fire that swirls around the opponent, raging on for a few actions before burning itself out. If the attack completely surrounds the target, they become trapped in its raging coils and suffer 1% fire-type damage at the end of each action during which they are unable to escape.",Single,Projectile
84,thunder-shock,Thunder Shock,5,2,4,2,100,Has a 10% chance to paralyze the target.,The user releases a weak bolt of electricity. It may cause paralysis.,Single,Projectile/Status (paralysis)
85,thunderbolt,Thunderbolt,5,2,9,5,100,Has a 10% chance to paralyze the target.,The user generates a massive bolt of electricity and launches it at its foe. It may cause paralysis.,Single,Projectile/Status (paralysis)
86,thunder-wave,Thunder Wave,5,3,,4,100,Paralyzes the target.,"The user lets off a disruptive pulse of electricity that scrambles the target's nervous system, making it extremely difficult for it to control muscle contractions and effectively rendering it paralyzed.",Single,Projectile/Status (paralysis)
87,thunder,Thunder,5,2,11,8,70,Has a 30% chance to paralyze the target.,"The user calls down a huge bolt of lightning from the sky. This attack, as it comes from the clouds, can strike even high-flying foes. For the same reason, it has only 50% accuracy during sunny day but 100% accuracy during rain.",Single,Projectile/Status (paralysis)
88,rock-throw,Rock Throw,13,1,5,3,90,Deals damage.  No other effect.,"The user picks up a rock and throws it at the target. If no rocks are available, another large, heavy object may be substituted, but this attack may change types as a result.",Single,Projectile
89,earthquake,Earthquake,9,1,10,5,100,Deals damage.  No other effect.,"The user stomps on or hits the ground to make it start shaking like crazy. The ground shakes violently for a few seconds, and with repeated usage of this move the arena will become increasingly damaged as cracks spread out across the ground and pieces of terrain are toppled. pokémon caught in an earthquake attack are thrown off their feet and slammed repeatedly into the ground as it bounces beneath them, and the damage dealt therefore depends on the hardness of the ground. In a sandy arena, the sand will absorb most of the shockwaves and also not make for a terribly hard landing for those pokémon caught in an earthquake; in a solid rock arena, on the other hand, earthquake would be much more powerful.",All,Projectile
90,fissure,Fissure,9,1,-1,-1,30,"Deals damage equal to the damage cap, or 100% if there is none.","The user slowly tears open a huge crack in the ground with seismic activity. The walls of the chasm opened slide around as if attempting to swallow the opponent. Due to the slow nature of this attack, the opponent can escape impending doom, but if caught, the opponent takes extreme damage if they are not outright KO'd and gets trapped in the hole left behind.",Single,Projectile/OHKO
91,dig,Dig,9,1,8,4,100,"Digs underground, dodging most moves, then hits.  Costs 3% extra energy to do both in one action.","The user digs into the ground at an incredible rate, traveling at least five feet under the earth as they create a large tunnel. After that, they angle upwards again to burst from the ground just beneath their unsuspecting foe, bowling them over with a surprise strike. Alternatively, the user may be commanded not to resurface and instead to remain underground while performing other actions.",Single,Contact
92,toxic,Toxic,8,3,,4,90,Badly poisons the target.,"The user spits a horrible mixture of powerful toxins at the foe, coating it with a disgusting, poisonous mixture that rapidly sinks through its skin and enters its bloodstream, causing ever-worsening poison symptoms.",Single,Projectile/Status (severe poison)
93,confusion,Confusion,11,2,5,3,100,Has a 10% chance to confuse the target.,"The user concentrates, attacking the opponent's mind and causing damage by activating their pain receptors or picking them up and throwing them around a bit. As far as psychic attacks go, this one is fairly mild, although it may cause disorientation and confusion. In addition, confusion may be used to turn aside weak attacks or manipulate very small objects.",Single,Projectile/Status (confusion)
94,psychic,Psychic,11,2,9,5,100,Has a 10% chance to lower the target's Special Defense by one stage.,"The user encases the foe in Psychic power and then throws and slams them about. Alternatively, the user may attempt to break into the opponent's mind and induce pain directly by stimulating the appropriate centers in their brain; mental intrusion is likely to result in a decrease in their resistance to subsequent breaches and cause a slight drop in special defense. Finally, this attack may be used to lift and manipulate fairly heavy objects at a distance, as well as manipulate or turn aside fairly powerful attacks.",Single,Projectile/Stat modifier (special defense)
95,hypnosis,Hypnosis,11,3,,2,60,Puts the target to sleep.,"The user's eyes glow an eerie red as it tries to lock its gaze with the opponent. If it succeeds, the user broadcasts psychic waves that enter the target's brain and interferes with its function, causing the target to slide inexorably into sleep.",Single,Projectile/Status (sleep)
96,meditate,Meditate,11,3,,1,,Raises the user's Attack by one stage.,"The user focuses its mind in order to better control the muscles of its body, slightly increasing its attack power.",Self,Stat modifier (attack)
97,agility,Agility,11,3,,2,,Raises the user's Speed by two stages.,"The user leaps into action, running at top speed in order to loosen up its muscles and pump itself up for later rounds of battle. The speed of the pokémon using agility increases dramatically, and it can more easily dodge attacks. Moves that strike quickly or hit multiple times have increased power when combined with agility; however, the burst of speed is only temporary and performing agility many timse in succession is extremely tiring. Agility can also be used to dodge attacks or cover ground more quickly rather than directly for the speed boost it grants.",Self,Stat modifier (speed)
98,quick-attack,Quick Attack,1,1,4,3,100,Deals damage.  No other effect.,The user puts on an amazing burst of speed and rams into the opponent for light damage. This attack can also be used to dart away from incoming attacks or cover ground more quickly.,Single,Contact/Priority 1
99,rage,Rage,1,1,2,1,100,Raises the user's Attack by one stage each time it is hit during this move.,"The user flies into a towering, irrational rage and strikes wildly at its foe. The enraged pokémon will only become more so with each damaging attack performed against it while in its rampaging state, and as a result the base power of this attack rises by ten for each damaging attack suffered by the user when this attack is used consecutively. The user will calm down if this attack is not used repeatedly, and any base power gains will be lost.",Single,Contact
100,teleport,Teleport,11,3,,3,,Teleports the user to another location within the arena.,"The user teleports either away from danger or to a location designated by the trainer. Teleportation is instantaneous and may be done in any direction, although it consumes a fair amount of energy to use.",Self,Special
101,night-shade,Night Shade,14,2,-1,-1,100,"Damage is equal to the user's experience, up to 10%.","The user emits burning streams of ghostly energy from its eyes. The base power of this attack is equal to ten times the number of experience points the user has, to a maximum of 100 power. This attack's damage is not affected by type weaknesses or resistances, stat boosts or drops, or any other factors save total immunity--this attack does not affect normal-types.",Single,Projectile
102,mimic,Mimic,1,3,,1,,Becomes any move used by any Pokémon since the user entered battle; reverts when the user leaves battle.,"The user mimics the move another pokémon has used during the battle. The user retains use of the learned move for the duration of the battle, and no further moves may be mimicked in this manner. In addition, the use of a mimicked move costs slightly more energy than it ordinarily would, as the user is unskilled with the attack.",Single,Special
103,screech,Screech,1,3,,2,85,Lowers the target's Defense by two stages.,The user lets out a piercing screech that causes the opponent's defense to decrease considerably for a short period of time as they wince with shock.,Multiple,Projectile/Stat modifier (defense)
104,double-team,Double Team,1,3,,-1,,Produces a number of illusory clones which act as decoys for single-target moves.,"The user dashes around the battlefield at top speed, leaving behind numerous illusory clones that mimic the user's every move. This attack can either be used to create a ring of clones around the target to greatly increase the accuracy of the next attack it performs, as the target will have no idea from what direction the strike will come, or simply to create a crowd of body doubles to confuse the foe so that they might end up attacking a clone instead of its creator. If double team is used to improve accuracy, the clones will all disappear after the highly accurate strike is made; otherwise, they will disappear only in response to damage or some circumstance that allows foes to see through the illusion. A pokémon can control the number of clones that it creates, but producing more clones requires more energy, and the maximum number of clones it may produce is limited by its speed. A pokémon of average speed can produce around five clones at maximum.",Self,Special
105,recover,Recover,1,3,,-1,,Restores 50% of the user's health.,"The user glows brightly as it heals itself much more rapidly than it would by using rest. This attack heals large amounts of health as well as eliminating cuts and other wounds. However, it will not cure status effects. Although it restores a lot of health, this move requires a great deal of energy.",Self,Healing (direct)
106,harden,Harden,1,3,,1,,Raises the user's Defense by one stage.,"The user either crouches as low as it possibly can and tightens its muscles to increase the hardness of its skin or exudes a quick-drying substance that covers its body and reinforces its natural armor, slightly increasing its defense.",Self,Stat modifier (defense)
107,minimize,Minimize,1,3,,2,,Raises the user's Evasion by two stages.,"The user reduces its size temporarily in order to make it more difficult for other pokémon to attack it, thus greatly raising its evasion. The user's physical attacks become weaker as a result, but its special attacks remain at the same power. It also takes more damage from contact moves while it remains small.",Single,Stat modifier (minimize)
