id,identifier,name,price,item_category_id,order
140,electirizer,Electirizer,15,7,
141,magmarizer,Magmarizer,15,7,
142,protector,Protector,15,7,
143,reaper-cloth,Reaper Cloth,15,7,
144,absorb-bulb,Absorb Bulb,8,1,
145,air-balloon,Air Balloon,8,1,
146,binding-band,Binding Band,5,1,
147,cell-battery,Cell Battery,8,1,
148,eviolite,Eviolite,10,1,
149,ring-target,Ring Target,8,1,
150,eject-button,Eject Button,10,1,
151,red-card,Red Card,10,1,
152,rocky-helmet,Rocky Helmet,8,1,
153,bug-gem,Bug Gem,7,4,12
154,electric-gem,Electric Gem,7,4,5
155,fighting-gem,Fighting Gem,7,4,7
156,fire-gem,Fire Gem,7,4,2
157,flying-gem,Flying Gem,7,4,10
158,ghost-gem,Ghost Gem,7,4,14
159,grass-gem,Grass Gem,7,4,4
160,ground-gem,Ground Gem,7,4,9
161,ice-gem,Ice Gem,7,4,6
162,normal-gem,Normal Gem,7,4,1
163,poison-gem,Poison Gem,7,4,8
164,psychic-gem,Psychic Gem,7,4,11
165,rock-gem,Rock Gem,7,4,13
166,steel-gem,Steel Gem,7,4,17
167,water-gem,Water Gem,7,4,3
168,prism-scale,Prism Scale,15,7,
169,dark-gem,Dark Gem,7,4,16
170,dragon-gem,Dragon Gem,7,4,15
171,sachet,Sachet,15,7,
172,whipped-dream,Whipped Dream,15,7,
173,ability-capsule,Ability Capsule,20,5,
174,assault-vest,Assault Vest,13,1,
175,fairy-gem,Fairy Gem,7,4,18
176,kee-berry,Kee Berry,10,6,41
177,luminous-moss,Luminous Moss,8,1,
178,maranga-berry,Maranga Berry,10,6,42
179,pixie-plate,Pixie Plate,5,3,18
180,roseli-berry,Roseli Berry,7,6,28
181,safety-goggles,Safety Goggles,10,1,
182,snowball,Snowball,8,1,
183,weakness-policy,Weakness Policy,13,1,
